552;Loving;79
553;Fantastic Four;27
554;The Survivalist;80
555;Colonia;33
556;The Boy Next Door;30
557;The Gift;77
558;Dracula Untold;40
559;In the Heart of the Sea;47
560;Idiocracy;66
561;The Expendables;45
562;Evil Dead;57
563;Sinister;53
564;Wreck-It Ralph;72
565;Snow White and the Huntsman;57
566;Pan;36
567;Transformers: Dark of the Moon;42
568;Juno;81
569;A Hologram for the King;58
570;Money Monster;55
571;The Other Woman;39
572;Enchanted;75
573;The Intern;51
574;Little Miss Sunshine;80
575;Bleed for This;62
576;Clash of the Titans;39
577;The Finest Hours;58
578;Tron;49
579;The Hunger Games: Catching Fire;76
580;All Good Things;57
581;Kickboxer: Vengeance;37
582;The Last Airbender;20
583;Sex Tape;36
584;What to Expect When You're Expecting;41
585;Moneyball;87
586;Ghost Rider;35
587;Unbroken;59
588;Immortals;46
589;Sunshine;64
590;Brave;69
591;M„n som hatar kvinnor;76
592;Adoration;37
593;The Drop;69
594;She's the Man;45
595;Daddy's Home;42
596;Let Me In;79
597;Never Back Down;39
598;Grimsby;44
599;Moon;67
600;Megamind;63
601;Gangster Squad;40
602;Blood Father;66
603;He's Just Not That Into You;47
604;Kung Fu Panda 3;66
605;The Rise of the Krays;90
606;Handsome Devil;
607;Winter's Bone;
608;Horrible Bosses;57
609;Mommy;74
610;Hellboy II: The Golden Army;78
611;Beautiful Creatures;52
612;Toni Erdmann;93
613;The Lovely Bones;42
614;The Assassination of Jesse James by the Coward Robert Ford;68
615;Don Jon;66
616;Bastille Day;48
617;2307: Winter's Dream;53
618;Free State of Jones;
619;Mr. Right;52
620;The Secret Life of Walter Mitty;54
621;Dope;72
622;Underworld Awakening;39
623;Antichrist;49
624;Friday the 13th;34
625;Taken 3;26
626;Total Recall;43
627;X-Men: The Last Stand;58
628;The Escort;46
629;The Whole Truth;
630;Night at the Museum: Secret of the Tomb;47
631;Love & Other Drugs;55
632;The Interview;52
633;The Host;85
634;Megan Is Missing;94
635;WALLúE;
636;Knocked Up;85
637;Source Code;74
638;Lawless;58
639;Unfriended;59
640;American Reunion;49
641;The Pursuit of Happyness;64
642;Relatos salvajes;77
643;The Ridiculous 6;18
644;Frantz;73
645;Viral;72
646;Gran Torino;
647;Burnt;42
648;Tall Men;57
649;Sleeping Beauty;
650;Vampire Academy;30
651;Sweeney Todd: The Demon Barber of Fleet Street;83
652;Solace;36
653;Insidious;52
654;Popstar: Never Stop Never Stopping;68
655;The Levelling;82
656;Public Enemies;70
657;Boyhood;100
658;Teenage Mutant Ninja Turtles;31
659;Eastern Promises;82
660;The Daughter;62
661;Pineapple Express;64
662;The First Time;55
663;Gone Baby Gone;72
664;The Heat;60
665;L'avenir;88
666;Anna Karenina;63
667;Regression;32
668;Ted 2;48
669;Pain & Gain;45
670;Blood Diamond;64
671;Devil's Knot;42
672;Child 44;41
673;The Hurt Locker;94
674;Green Lantern;39
675;War on Everyone;50
676;The Mist;58
677;Escape Plan;49
678;Love, Rosie;44
679;The DUFF;56
680;The Age of Shadows;78
681;The Hunger Games: Mockingjay - Part 1;64
682;We Need to Talk About Kevin;68
683;Love & Friendship;87
684;The Mortal Instruments: City of Bones;33
685;Seven Pounds;36
686;The King's Speech;88
687;Hunger;82
688;Jumper;35
689;Toy Story 3;92
690;Tinker Tailor Soldier Spy;85
691;Resident Evil: Retribution;39
692;Dear Zindagi;56
693;Genius;
694;Pompeii;39
695;Life of Pi;79
696;Hachi: A Dog's Tale;61
697;10 Years;
698;I Origins;57
699;Live Free or Die Hard;69
700;The Matchbreaker;44
701;Funny Games;
702;Ted;62
703;RED;60
704;Australia;53
705;Faster;44
706;The Neighbor;60
707;The Adjustment Bureau;
708;The Hollars;53
709;The Judge;48
710;Closed Circuit;50
711;Transformers: Revenge of the Fallen;35
712;La tortue rouge;86
713;The Book of Life;67
714;Incendies;80
715;The Heartbreak Kid;46
716;Happy Feet;77
717;Entourage;38
718;The Strangers;47
719;Noah;68
720;Neighbors;68
721;Nymphomaniac: Vol. II;60
722;Wild;76
723;Grown Ups;30
724;Blair Witch;47
725;The Karate Kid;61
726;Dark Shadows;55
727;Friends with Benefits;63
728;The Illusionist;68
729;The A-Team;47
730;The Guest;76
731;The Internship;42
732;Paul;57
733;This Beautiful Fantastic;51
734;The Da Vinci Code;46
735;Mr. Church;37
736;Hugo;83
737;The Blackcoat's Daughter;68
738;Body of Lies;57
739;Knight of Cups;53
740;The Mummy: Tomb of the Dragon Emperor;31
741;The Boss;40
742;Hands of Stone;54
743;El secreto de sus ojos;80
744;True Grit;80
745;We Are Your Friends;46
746;A Million Ways to Die in the West;44
747;Only for One Night;60
748;Rules Don't Apply;
749;Ouija: Origin of Evil;65
750;Percy Jackson: Sea of Monsters;39
751;Fracture;68
752;Oculus;61
753;In Bruges;67
754;This Means War;31
755;L¡da Baarov ;64
756;The Road;
757;Lavender;46
758;Deuces;36
759;Conan the Barbarian;
760;The Fighter;79
761;August Rush;38
762;Chef;68
763;Eye in the Sky;73
764;Eagle Eye;43
765;The Purge;41
766;PK;51
767;Ender's Game;
768;Indiana Jones and the Kingdom of the Crystal Skull;65
769;Paper Towns;56
770;High-Rise;65
771;Quantum of Solace;58
772;The Assignment;34
773;How to Train Your Dragon;74
774;Lady in the Water;36
775;The Fountain;51
776;Cars 2;57
777;31;35
778;Final Girl;56
779;Chalk It Up;
780;The Man Who Knew Infinity;
781;Unknown;56
782;Self/less;34
783;Mr. Brooks;45
784;Tramps;77
785;Before We Go;31
786;Captain Phillips;83
787;The Secret Scripture;37
788;Max Steel;22
789;Hotel Transylvania 2;44
790;Hancock;49
791;Sisters;58
792;The Family;42
793;Zack and Miri Make a Porno;56
794;Ma vie de Courgette;85
795;Man on a Ledge;40
796;No Strings Attached;50
797;Rescue Dawn;77
798;Despicable Me 2;62
799;A Walk Among the Tombstones;57
800;The World's End;81
801;Yoga Hosers;23
802;Seven Psychopaths;66
803;Beowulf;59
804;Jack Ryan: Shadow Recruit;57
805;1408;64
806;The Gambler;55
807;Prince of Persia: The Sands of Time;50
808;The Spectacular Now;82
809;A United Kingdom;65
810;USS Indianapolis: Men of Courage;30
811;Turbo Kid;60
812;Mama;57
813;Orphan;42
814;To Rome with Love;54
815;Fantastic Mr. Fox;83
816;Inside Man;76
817;I.T.;27
818;127 Hours;82
819;Annabelle;37
820;Wolves at the Door;63
821;Suite Fran‡aise;
822;The Imaginarium of Doctor Parnassus;65
823;G.I. Joe: The Rise of Cobra;32
824;Christine;72
825;Man Down;27
826;Crawlspace;25
827;Shut In;
828;The Warriors Gate;77
829;Grindhouse;
830;Disaster Movie;15
831;Rocky Balboa;63
832;Diary of a Wimpy Kid: Dog Days;54
833;Jane Eyre;76
834;Fool's Gold;29
835;The Dictator;58
836;The Loft;24
837;Bacalaureat;84
838;You Don't Mess with the Zohan;54
839;Exposed;23
840;Maudie;60
841;Horrible Bosses 2;40
842;A Bigger Splash;74
843;Melancholia;80
844;The Princess and the Frog;73
845;Unstoppable;69
846;Flight;76
847;Home;55
848;La migliore offerta;49
849;Mean Dreams;64
850;42;62
851;21;48
852;Begin Again;62
853;Out of the Furnace;63
854;Vicky Cristina Barcelona;70
855;Kung Fu Panda;73
856;Barbershop: The Next Cut;67
857;Terminator Salvation;49
858;Freedom Writers;64
859;The Hills Have Eyes;52
860;Changeling;63
861;Remember Me;40
862;Koe no katachi;80
863;Alexander and the Terrible, Horrible, No Good, Very Bad Day;54
864;Locke;81
865;The 9th Life of Louis Drax;41
866;Horns;46
867;Indignation;78
868;The Stanford Prison Experiment;67
869;Diary of a Wimpy Kid: Rodrick Rules;51
870;Mission: Impossible III;66
871;En man som heter Ove;70
872;Dragonball Evolution;45
873;Red Dawn;31
874;One Day;48
875;Life as We Know It;39
876;28 Weeks Later;78
877;Warm Bodies;59
878;Blue Jasmine;78
879;G.I. Joe: Retaliation;41
880;Wrath of the Titans;37
881;Shin Gojira;68
882;Saving Mr. Banks;65
883;Transcendence;42
884;Rio;63
885;Equals;43
886;Babel;69
887;The Tree of Life;85
888;The Lucky One;39
889;Piranha 3D;53
890;50/50;72
891;The Intent;59
892;This Is 40;
893;Real Steel;56
894;Sex and the City;53
895;Rambo;46
896;Planet Terror;55
897;Concussion;
898;The Fall;64
899;The Ugly Truth;28
900;Bride Wars;24
901;Sleeping with Other People;64
902;Snakes on a Plane;58
903;What If;59
904;How to Train Your Dragon 2;76
905;RoboCop;52
906;In Dubious Battle;43
907;Hello, My Name Is Doris;63
908;Ocean's Thirteen;62
909;Slither;69
910;Contagion;70
911;Il racconto dei racconti - Tale of Tales;72
912;I Am the Pretty Thing That Lives in the House;68
913;Bridge to Terabithia;74
914;Coherence;65
915;Notorious;60
916;Goksung;81
917;The Expendables 2;51
918;The Girl Next Door;29
919;Perfume: The Story of a Murderer;56
920;The Golden Compass;51
921;Centurion;62
922;Scouts Guide to the Zombie Apocalypse;32
923;17 Again;48
924;No Escape;38
925;Superman Returns;72
926;The Twilight Saga: Breaking Dawn - Part 1;45
927;Precious;79
928;The Sea of Trees;23
929;Good Kids;86
930;The Master;
931;Footloose;58
932;If I Stay;46
933;The Ticket;52
934;Detour;46
935;The Love Witch;82
936;Talladega Nights: The Ballad of Ricky Bobby;66
937;The Human Centipede (First Sequence);33
938;Super;50
939;The Siege of Jadotville;83
940;Up in the Air;
941;The Midnight Meat Train;58
942;The Twilight Saga: Eclipse;58
943;Transpecos;73
944;What's Your Number?;35
945;Riddick;49
946;Triangle;66
947;The Butler;
948;King Cobra;48
949;After Earth;33
950;Kicks;69
951;Me and Earl and the Dying Girl;74
952;The Descendants;84
953;Sex and the City 2;27
954;The Kings of Summer;61
955;Death Race;43
956;That Awkward Moment;36
957;Legion;32
958;End of Watch;68
959;3 Days to Kill;40
960;Lucky Number Slevin;53
961;Trance;61
962;Into the Forest;59
963;The Other Boleyn Girl;50
964;I Spit on Your Grave;27
965;Custody;72
966;Inland Empire;
967;L'odyss‚e;70
968;The Walk;
969;Wrecker;37
970;The Lone Ranger;
971;Texas Chainsaw 3D;62
972;Disturbia;
973;Rock of Ages;47
974;Scream 4;52
975;Queen of Katwe;73
976;My Big Fat Greek Wedding 2;37
977;Dark Places;39
978;Amateur Night;38
979;It's Only the End of the World;48
980;The Skin I Live In;70
981;Miracles from Heaven;44
982;Annie;33
983;Across the Universe;56
984;Let's Be Cops;30
985;Max;47
986;Your Highness;31
987;Final Destination 5;50
988;Endless Love;30
989;Martyrs;89
990;Selma;
991;Underworld: Rise of the Lycans;44
992;Taare Zameen Par;42
993;Take Me Home Tonight;
994;Resident Evil: Afterlife;37
995;Project X;48
996;Secret in Their Eyes;45
997;Hostel: Part II;46
998;Step Up 2: The Streets;50
999;Search Party;22
1000;Nine Lives;11
